areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03
Rockaway All,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1300,,,1350,1425,1348,1345,1345,1350,1400,1350,1375,,,,1425,1450,,1550,1595,1550,1675,1700,1655,1603,1655,1565,,,,1699,1699,,1672,1647,1499,1488,,1585,,,1600,1599,1650,1600,1650,1600,1670,1695,1700,1695,1650,1650,1625,1617,1625,1625,1650,1600,1750,1750,1600,1600,1663,1639,1639,1750,1603,1614,1626,1699,1775,1787,1749,1674,1600,1649,1748,,,,,1882,1899,1865,1775,1712,1863,1912,1899,1950,1950,2012,2000,2124,2124,2072,1950,2108,2038,2250,2200,2375,2250,2275,2299,2299,2299,2350,2399,2189,2200
Roosevelt Island,Manhattan,neighborhood,,2185,2162,2300,2169,2169,2169,2300,2308,2325,2300,2300,2300,2238,2275,2401,2488,2463,,,2595,2700,2700,2798,,,,,3000,2873,2900,2950,2813,2775,2525,2613,2700,,2900,3000,2700,2700,2748,3073,2795,2795,2695,3198,3195,2973,2850,2695,3073,2995,2995,2995,2900,2573,2650,2800,2800,2800,2725,2995,2918,2898,3238,3223,2658,2579,2773,3000,3100,3100,3100,2950,3200,3261,3100,3100,3095,2850,2659,2738,2775,3043,2725,2900,3000,3295,3300,3268,2827,2800,2800,2550,2550,2632,2775,2842,3175,3078,3088,2950,2760,2624,2627,2725,2725,2750,3240,3168,2962,3355,3175,3295,3200,3478,3000,2850,2935,3122,3092,3061,3012,3046,2998,3000,3048,2900,2991,2823,2700,2821,2700,2900,3117,3200,3290,3292,3308,3395,3550,3635,3623,3495,3468,3495,3653,3903,3653,3651,3401,3563,3649,3600,3815,3894,3938,3894,3897,3973,3958,3954,3934,3901,3800,3491,3776,3776,3853
Rosedale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schuylerville,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagate,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheepshead Bay,Brooklyn,neighborhood,,1175,,,,,,,,,,,1249,1250,1275,1300,1250,1250,1350,1263,1400,1313,1350,1400,1450,1400,1325,1338,1400,1300,1438,1400,1500,1400,1400,1400,1400,1400,1425,1475,1400,1400,1395,1400,1375,1400,1473,1388,1350,1350,1425,1463,1500,1450,1400,1400,1400,1500,1475,1483,1450,1400,1500,1500,1500,1550,1550,1550,1550,1538,1550,1525,1500,1600,1597,1575,1550,1550,1550,1593,1625,1600,1600,1595,1600,1635,1650,1600,1600,1675,1695,1650,1698,1675,1695,1685,1695,1650,1645,1683,1699,1650,1650,1650,1650,1650,1650,1700,1695,1699,1675,1697,1695,1700,1717,1750,1700,1695,1697,1695,1700,1700,1700,1775,1700,1750,1750,1770,1700,1700,1713,1650,1695,1650,1650,1692,1675,1650,1650,1718,1738,1750,1700,1700,1725,1735,1750,1700,1750,1750,1750,1846,1800,1920,2000,1863,1900,1995,2341,2396,2355,2000,2223,2500,2450,2375,2800,2800,2800,2800,2325
Soho,Manhattan,neighborhood,3000,3000,3000,3100,2900,3048,3200,2950,3425,3000,3125,3651,3000,3000,2845,3198,3200,3800,4000,3800,3800,3500,3700,3800,3850,3850,3950,4125,3975,3645,3448,3195,4000,3525,3247,3750,3850,3250,3375,3700,3295,3300,2995,3306,3725,3450,3400,3150,3200,3500,3100,3300,3400,3500,3495,3000,3248,3550,3500,3250,3450,3250,3500,3495,3773,3850,3525,3300,3613,3475,3400,3395,3323,3295,3650,3700,3550,3300,3250,3150,3400,3500,3350,3373,3325,3200,3448,3600,3538,3400,3395,3109,3109,3195,3445,3500,3405,3600,3600,3595,3200,3200,3225,3498,3450,3995,3948,3725,3700,3300,3875,3758,3685,3695,3575,3600,3750,3750,3750,4000,3800,3723,4000,4000,3485,3450,3495,3530,3350,3095,3000,3300,3050,3000,2795,2948,3000,3500,3806,3625,3725,4600,5998,5500,4500,4295,3995,4600,4650,4200,4775,4710,4840,4550,4350,4500,5100,5085,4250,4350,4325,4300,4300,4200,3995,3700,3995,4230,5310,5350,5425
Soundview,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1263,1263,1300,1363,1288,1275,1275,1275,1250,1275,1350,,1425,,,,,,,,,,1425,1450,,,,1413,1400,,,,,,,,,,,1500,,,,,,,,,1425,1425,,,,,,1497,1525,1575,,,,,,,,,,,,,,,1630,,,,,,,,,,,,,,1623,,,,,,,,,,,,,,,,,,,,,,,,,
South Brooklyn,Brooklyn,submarket,1350,1300,1300,1300,1300,1300,1250,1238,1213,1295,1298,1250,1250,1275,1275,1300,1300,1275,1250,1250,1300,1325,1300,1300,1350,1300,1300,1335,1350,1375,1400,1400,1400,1395,1400,1400,1395,1385,1375,1425,1450,1400,1425,1400,1400,1450,1500,1495,1500,1500,1500,1500,1500,1500,1450,1451,1450,1500,1493,1464,1475,1500,1500,1500,1500,1550,1550,1585,1600,1575,1595,1575,1595,1600,1600,1600,1600,1650,1650,1650,1655,1650,1625,1649,1650,1650,1650,1650,1650,1675,1685,1670,1662,1675,1650,1650,1675,1675,1660,1695,1700,1700,1700,1719,1700,1700,1700,1700,1700,1700,1742,1700,1715,1747,1700,1745,1750,1775,1750,1750,1795,1800,1800,1849,1825,1800,1800,1800,1750,1750,1725,1700,1700,1695,1700,1700,1700,1740,1749,1750,1775,1750,1775,1795,1800,1825,1850,1850,1950,2100,2199,2100,2100,2100,2100,2185,2172,2200,2250,2261,2334,2295,2350,2399,2395,2295,2250,2253,2294,2360,2300
South Jamaica,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ozone Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Queens,Queens,submarket,,,,,,,,,,,,,,,,,,,,,,,,,1479,,1430,1400,1350,,1450,,,,,,,,,,1595,1373,1395,1475,1475,1475,1395,1353,1388,1390,1450,1400,1400,1398,1400,1498,1525,1575,1575,1445,1445,1675,1675,1625,1675,1575,1550,1600,1500,1400,1450,1500,1495,1500,1500,1550,1563,1538,1625,1650,1650,1675,1650,1612,1595,1550,1650,1773,1675,1650,1625,1575,1695,1550,1725,1796,1600,1600,1700,1650,1650,1750,1797,1735,1675,1675,1675,1650,1725,1698,1700,1650,1750,1700,1759,1774,1788,1787,1800,1750,1750,1850,1850,1850,1800,1775,1784,1800,1800,1850,1800,1800,1900,1947,1790,1825,1800,1750,1800,1800,1825,1850,1900,1925,1925,2129,1963,2186,2202,2295,2293,2300,2442,2155,2100,2222,1900,2000,2150,2125,2100,2565,2545,2519,2588,2600,2600,2500,2400,2500,2550
South Richmond Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Gardens,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Albans,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Staten Island,borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1350,1350,,,,,,,,,1138,,,,1175,1150,1150,1150,1160,,,1250,1150,1175,,1200,1200,1200,,1200,1200,1250,1295,1250,1370,1500,1935,1685,1395,1405,1395,,1500,1695,2140,2300,2140,2140,1500,1500,1500,1500,1500,1500,1600,1500,1500,1500,1500,1500,1745,1395,1550,1600,1600,1600,1600,1600,1513,1500,1695,1929,1550,1790,1450,1600,1550,1450,1595,1600,1600,1600,2275,1848,1699,1798,2120,2154,1990,1795,1735,1699,,1575,,1450,1637,,1600,1500,,1700,1650,1700,1698,1600,1600,1600,1600,1624,1500,1450,1500,1450,1400,1525,1525,1500,1600,1590,1600,1600,1500,1650,1725,1650,1695,1750,1700,1600,1670,1797,1800,1888,1800,1700,1600,1700,1675,1625
Stuyvesant Town,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,3324,3378,3378,3350,3420,3433,,3430,3390,3350,3350,3235,3200,3250,3250,3200,2965,2965,2965,,,,3409,3409,3249,3249,3310,3323,3478,3452,3377,3150,3332,3362,3187,3068,3299,3299,3572,3572,3284,3216,3337,3410,3462,3472,3300,3257,3217,3191,3399,3685,3616,3548,3515,3542,3581,3559,3559,3611,3322,3640,3604,3611,3569,3676,3404,3525,3440,3625,3688,3541,3223,3585,3623,3580,3655,3609,,3549,3587,3610,3659,3312,3562,3502,3416,3466,3652,3725,3694,3792,3622,3785,3731,3712,3639,3762,3832,3802,,3626,3623,3670,3243,3164,3485,3464,3562,,3485,3448,3521,3520,3452,3550,3602,3704,4207,4353,4319,4406,4386,4585,4776,4822,5105,5187,4763,4522,,4485,,4345,4393,4601,4691,5014,4798,4730,4697,4406,4568,4671,4532,4546,4630,4752
Sunnyside,Queens,neighborhood,1350,1350,1350,1399,1400,1375,1400,1400,1450,1400,1400,1400,1400,1400,1400,1450,1445,1450,1450,1550,1550,1495,1548,1548,1600,1570,1650,1550,1650,1650,1500,1425,1463,1500,1500,1500,1500,1495,1500,1563,1638,1688,1650,1650,1725,1650,1675,1675,1675,1750,1800,1750,1700,1800,1800,1760,1750,1750,1750,1785,1800,1800,1750,1875,1900,1875,1900,1900,1900,1950,1850,1895,1950,1900,1900,1898,1879,1900,1925,1900,1950,1950,1900,1900,1875,1825,1850,1850,1880,1885,1875,1850,1850,1850,1850,1900,1875,1900,1900,1921,1900,1850,1850,1800,1850,1850,1850,1850,1898,1900,1900,1900,1900,1900,1900,1943,1925,1899,1900,1925,1850,1913,1995,1938,1900,1900,1897,1875,1850,1800,1775,1795,1800,1750,1750,1750,1750,1750,1800,1850,1895,1951,1950,1950,2000,1975,2000,2000,2090,2000,2200,2250,2200,2200,2173,2150,2100,2100,2200,2150,2250,2200,2250,2400,2400,2300,2300,2338,2300,2350,2350
Sunset Park,Brooklyn,neighborhood,1200,1200,1175,1188,1200,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,1313,,,1350,1450,1475,1500,1500,1500,1575,1500,,1450,1400,1400,1400,1400,1500,1600,1750,1650,1600,1600,1550,1500,1499,1525,1550,1500,1550,1550,1600,1600,1500,1600,1650,1650,1600,1675,1750,1600,1675,1700,1675,1600,1650,1750,1750,1650,1600,1700,1700,1700,1675,1650,1600,1700,1635,1700,1700,1700,1738,1675,1650,1750,1750,1750,1713,1738,1719,1750,1700,1700,1699,1650,1650,1650,1713,1725,1750,1750,1700,1700,1800,1749,1750,1798,1798,1800,1695,1700,1795,1800,1800,1750,1700,1650,1675,1649,1600,1600,1650,1700,1700,1650,1700,1700,1700,1700,1700,1738,1800,1800,1775,1800,2000,2195,2200,2100,2095,2000,1850,1935,1950,1950,2125,2156,2000,2150,2173,2075,2000,1950,1900,1875,2010,2000
The Rockaways,Queens,submarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1300,,,1350,1425,1348,1345,1345,1350,1400,1350,1375,,,,1425,1450,,1550,1595,1550,1675,1700,1655,1603,1655,1565,,,,1699,1699,,1672,1647,1499,1488,,1585,,,1600,1599,1650,1600,1650,1600,1670,1695,1700,1695,1650,1650,1625,1617,1625,1625,1650,1600,1750,1750,1600,1600,1663,1639,1639,1750,1603,1614,1626,1699,1775,1787,1749,1674,1600,1649,1748,,,,,1882,1899,1865,1775,1712,1863,1912,1899,1950,1950,2012,2000,2124,2124,2072,1950,2108,2038,2250,2200,2375,2250,2275,2299,2299,2299,2350,2399,2189,2200
Throgs Neck,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tremont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1599,,1413,1350,1400,1300,1300,1300,1300,1375,,1270,1295,1300,,,,1350,,,1350,1350,1350,1313,1350,1500,,,,,,,,,,,,,,,1538,,,1650,,,,1575,,,1650,1650,1650,1600,1525,1550,,,,,,1649,,1700,1650,1625,1775,1695,1725,1550,1500,1500,1613,,1613,1625,1750,1748,1795,1662,1650,1675,,1695,,,1698,1725,1650,1725,1750,1725,1700,1695,1735,,,,,,,,1895,1885,1895,,1788,
Tribeca,Manhattan,neighborhood,3960,4000,3900,3925,3800,3695,3650,3595,3525,4000,3800,3995,4200,3800,3800,3945,3898,4200,4600,4350,3823,3985,4063,4060,4200,4323,4500,4395,4260,4398,4000,4288,4325,4595,4450,4300,4200,4013,4295,4195,4500,4500,4595,4498,4495,4135,4295,4338,4100,4295,4295,4298,4398,4430,4495,4450,4195,4395,4295,4835,4498,4500,4970,5280,5120,5035,5095,5340,4695,4695,4595,4595,4456,4777,4935,5000,4900,4713,5150,5150,5005,5000,4795,4885,4650,4507,4582,4850,4710,4773,5000,4395,4280,4195,4250,4441,4500,4595,4500,4805,4695,4698,4550,4600,4895,4990,4835,4825,4698,4500,4700,4813,4895,4895,5200,5000,5370,5195,5395,5410,5160,5250,5030,5030,4995,5250,4995,5000,4850,4587,4579,4300,4350,4400,4398,4450,4655,5000,5000,5521,5408,5528,5550,6038,5712,5712,5800,5650,5795,5993,5867,5500,5415,5995,6195,6075,6020,5810,5998,6048,6087,6271,6180,6020,5995,5985,5995,5990,6095,6029,6138
University Heights,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1155,1150,1199,,,,,1150,,1175,1199,,1218,1238,,1260,,1233,1250,1273,1250,1250,1250,1275,1287,1300,1330,1278,1295,,,1300,1300,,1350,1358,1300,1300,1408,1399,1350,,,1350,1350,,,1379,,1387,1495,1495,1442,1450,1450,1442,1473,1499,1500,1450,1450,1463,1450,,,,1488,1500,1550,1550,1599,1599,,1550,1612,1568,1580,1575,1550,1600,1558,1595,,,,1640,1650,1650,1650,1599,1650,1650,1649,1599,1625,1637,1638,1612,1649,1649,1573,1563,1599,1599,1599,1650,1650,1750,1724,1722,1700,1650,1699,1600,1540,1650,1698,1795,1795,1797,1795,1835,1999,1999,1895,1950,1895,1999,1895,1895,1875,1686
Upper East Side,Manhattan,neighborhood,2350,2300,2350,2470,2500,2500,2500,2490,2500,2500,2400,2500,2475,2400,2400,2500,2600,2650,2550,2600,2650,2695,2700,2695,2600,2650,2600,2650,2600,2650,2650,2600,2695,2600,2625,2650,2650,2700,2750,2665,2695,2695,2650,2750,2763,2750,2700,2700,2675,2695,2600,2650,2625,2600,2625,2550,2600,2650,2700,2788,2750,2813,2848,2750,2750,2800,2800,2850,2935,2850,2800,2895,2900,2895,2929,2890,2850,2795,2750,2737,2775,2790,2800,2870,2800,2800,2850,2850,2800,2815,2800,2795,2850,2788,2795,2795,2800,2750,2775,2700,2695,2800,2795,2778,2795,2850,2900,2950,2950,2995,2950,2860,2895,2950,2900,2795,2813,2925,3000,3100,3170,3175,3150,3000,2950,2837,2695,2521,2500,2500,2400,2450,2375,2404,2400,2350,2435,2495,2595,2675,2750,2800,2950,3095,3295,3400,3250,3195,3250,3295,3300,3350,3395,3395,3500,3595,3595,3600,3797,3700,3750,3650,3500,3500,3500,3550,3600,3585,3600,3795,3695
Upper West Side,Manhattan,neighborhood,2600,2565,2495,2500,2500,2600,2600,2650,2750,2800,2800,2695,2700,2750,2750,2800,2800,2900,2850,2925,2900,2900,2950,3000,3000,2960,2900,2950,2900,2900,2995,2950,2995,2975,2995,2995,2950,2975,3000,3000,3000,2900,2850,2950,3000,3000,2950,2990,2950,2995,3000,3100,3100,3000,2997,2995,3050,3043,3000,3000,3050,3100,3100,3150,3150,3150,3225,3250,3295,3250,3200,3200,3200,3200,3200,3226,3200,3150,3189,3193,3200,3200,3120,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3095,3050,3140,3100,3081,3095,3100,3100,3100,3050,3050,3100,3150,3090,3150,3231,3200,3200,3349,3202,3254,3200,3300,3380,3395,3400,3395,3400,3375,3366,3203,3100,3000,2924,2800,2750,2662,2650,2657,2650,2695,2700,2750,2900,2900,2965,3075,3200,3400,3650,3750,3839,3850,3900,4034,4000,3985,4000,3950,4066,4129,4050,4000,4059,4121,4200,4272,4200,4000,4100,4100,4124,4095,4000,3995,4000,4198,4200
Utopia,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Nest,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,1400,1388,1300,1375,1225,1300,1375,1375,1300,1249,1249,1250,,1250,,1400,1450,1450,1450,1450,1450,1450,,1450,1395,1398,1395,1375,1375,,,,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1583,,,,1635,,,,,,,
Washington Heights,Manhattan,neighborhood,1400,1395,1395,1397,1355,1433,1495,1495,1425,1468,1495,1450,1400,1425,1413,1495,1485,1500,1500,1600,1600,1525,1550,1438,1525,1495,1595,1495,1500,1498,1498,1500,1495,1650,1500,1500,1600,1600,1525,1525,1595,1575,1595,1550,1600,1597,1600,1600,1550,1595,1496,1500,1550,1595,1663,1650,1650,1600,1600,1600,1600,1604,1650,1699,1680,1700,1700,1700,1750,1700,1700,1744,1750,1750,1700,1700,1700,1700,1725,1775,1750,1750,1750,1750,1800,1795,1750,1800,1800,1800,1800,1800,1800,1750,1750,1800,1798,1799,1796,1795,1823,1850,1825,1825,1800,1850,1849,1800,1800,1800,1800,1825,1872,1888,1850,1885,1900,1900,1850,1875,1900,1900,1900,1900,1895,1895,1850,1820,1800,1800,1800,1795,1800,1795,1800,1800,1800,1839,1850,1850,1865,1850,1900,1900,1950,1950,1965,1975,1980,2100,2150,2150,2150,2199,2050,2125,2100,2205,2295,2225,2275,2275,2250,2273,2200,2150,2100,2100,2150,2200,2250
West Harlem,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,1600,,,,,,,,,,,,1750,1750,1750,1750,1800,,1850,1750,1750,1750,1750,,1850,1850,1750,1863,1863,1850,1875,1920,1940,1950,1870,1950,2025,2000,2000,,,1900,1885,1900,2000,1850,1823,1750,1838,,1900,1725,2413,2725,2575,2500,2213,2295,2295,2195,2150,2050,2150,2198,2163,2163,2150,2195,2250,2125,2033,2000,1938,2113,2150,2115,2210,2175,2175,2273,2213,,2125,1900,1943,1900,1875,1800,1800,1795,1843,1900,1840,1900,1975,1975,1950,1950,1995,1973,2000,2000,2040,,,2275,2300,2275,2675,2495,2400,2400,2433,2398,2400,2595,2595,2700,2475,2823,2700,2850,2650,2350,2350,2550,2488,2750,2725
West Village,Manhattan,neighborhood,3298,3100,3000,3048,3000,3095,3288,3000,3250,2973,2925,3100,3200,3298,3197,3500,3495,3550,3300,3400,3325,3400,3300,3300,3250,3300,3300,3295,3395,3300,3395,3200,3300,3438,3495,3495,3300,3300,3400,3395,3498,3500,3500,3500,3500,3495,3400,3500,3450,3583,3500,3595,3500,3500,3500,3500,3500,3450,3450,3500,3500,3500,3500,3500,3573,3500,3500,3650,3600,3595,3520,3600,3600,3800,3800,3763,3795,3795,3700,3695,3600,3600,3595,3588,3500,3500,3500,3500,3650,3695,3650,3606,3595,3500,3450,3493,3498,3723,3695,3750,3780,3795,3795,3850,3850,3750,3895,3750,3800,3720,3700,3750,3825,3900,3995,3895,3895,3875,3850,3995,4000,4000,4095,4000,3598,3495,3495,3350,3250,3200,3100,3120,3162,3295,3250,3295,3400,3600,3973,3995,4000,4300,4323,4364,4493,4550,4500,4500,4548,4700,4773,4675,4750,4800,4698,4725,4700,4700,4695,4750,4700,4773,4795,4595,4795,4700,4995,5000,5180,5100,5000
Westchester Village,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitestone,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamsbridge,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamsburg,Brooklyn,neighborhood,2383,2350,2304,2450,2450,2585,2558,2500,2550,2558,2589,2600,2600,2500,2800,2850,2800,2900,2850,2650,2800,2800,2800,2800,2887,2894,2865,2900,3000,2973,2900,3000,3138,3100,3046,3100,3000,2900,2900,2900,2900,3093,3115,3000,2995,2900,2933,2886,2895,2923,2950,2988,3000,3140,3200,3200,3200,3100,3050,3050,3000,3000,3000,3050,2999,3150,3150,3100,3050,3100,3150,3193,3150,3025,2979,2950,2975,2975,3050,2995,2900,3000,2950,2980,2945,2950,2980,2900,2800,2900,2861,2880,2950,2933,2781,2795,2800,2800,2775,2800,2750,2750,2750,2750,2700,2749,2750,2700,2750,2795,2900,2989,2875,2915,2999,3238,3250,3281,3232,3225,3250,3300,3225,3250,3100,2933,2875,2775,2700,2665,2650,2650,2600,2595,2600,2500,2500,2600,2900,3380,3500,3200,3500,3600,3729,3699,3538,3825,3850,3883,3925,3999,3999,3997,3820,4000,4200,4245,4100,4000,4100,4200,4099,4110,4099,4190,4000,3990,3995,4100,4000
